,locations,image,latitude,longitude,Entry Fee,Timings,Descriptions,Rate,Rate_counts
0,Pashupatinath Temple,,27.71057,85.34874,USD 410.,Open 24 hours.,"Hinduism is the most widely followed religion in Nepal. The country has embraced this religion and respects it with several sacred places of interest, including Pashupatinath Temple. The sacred place is considered one of the most important temples in the world and one of the most visited tourist places in Kathmandu. The complex is on UNESCO World Heritage Sites’ list for decades. The extensive Hindu temple has a sprawling collection of images, inscriptions, ashrams, temples and images. There are 12 Jyotirlinga in India and the one in Nepal is the head over this body. The temple has 275 holy abodes of Shiva as well. Temple architecture is quite intriguing as it is built in Nepalese pagoda style of architecture. The wooden rafters are carved to perfection whereas the overall foundation is like cubic constructions. The sacro sanctum here is that of s stone Mukhalinga, or a linga with a face.",4.7,"(35,199)"
1,Boudhanath (Stupa),,27.72143,85.362,Rs 250/ for foreigners,,"A UNESCO World Heritage Site and one of the largest stupas in the world, the Boudhanath Stupa in Kathmandu is a significant place in Buddhism and architecture, both. Located on an ancient trade route that entered Kathmandu from Tibet.The place has seen many traders and travellers offering prayers to their lord here, as the Stupa is considered to be the tomb of the remains of Kassapa Buddha. With a lot of legends attached to the place, it is one of the best places to visit in Nepal and easily deserves to be called so.",4.7,"(14,859)"
2,Swayambhunath Stupa,,27.71494,85.29039,Rs 200 for foreign nationals to go to the Swayambhu Stupa,Open 24 hours ,"Situated on top of a hill in the Kathmandu Valley, this tourist place in Kathmandu is an ancient architectural marvel is one of the best attractions of the city. The entire complex is surrounded by a wide variety of trees. It comprises of the main stupa, many shrines, temples, monastery, museum and a wellstocked library.The temples are painted with the eyes and eyebrows of the Buddha with the number 1 in local script painted as the nose of the lord, which is a sight to behold in itself.",4.6,"(16,050)"
3,Thamel,,27.71703,85.31126,Free,From morning till night.,"A haven for tourists visiting Kathmandu, Thamel is a popular destination. The place has several hotels, shops and restaurants that are particularly designed to cater to a discerning range of customers.The commercial location is an easy walk from central Kathmandu and there are a number of activities that you can enjoy at this place.all its attractions makes it a place to visit in Kathmandu you cannot miss during your trip. The streets are quite fascinating at Thamel. But be cautious of sellers who might want to rip you off. Otherwise, the place is good for buying anything from Tibetan Singing Bowls to Glass Pipes. Just remember to bargain a little as the prices can come down to 2/3rdof the quoted prices.Here, you can also enjoy shopping incense sticks, Kukri swords, outdoor outfits and books. Over a hundred different eateries are located at this market. So, eat whatever cuisine you wish to try.",,
4,Kopan Monastery,,27.7422,85.36388,Free entry.,Open for tourists from morning to evening.,"Founded by Lama Thubten Yeshe, who died in 1984, Kopan monastery is a sacred Buddhist site in the world. Located on the hilltop north of Bodhnath, the monastery is pleasant place where you can explore and study Buddhism.The monastery is still looking for the reincarnation of Lama Yeshe. However, the young Spanish boy, who was declared to be reincarnated Lama no longer resides at the Kopan Monastery. In fact, he renounced his vows and now works in Ibiza as a cinematographer. But that’s not what’s intriguing about the monastery. The place is best known for its books on Buddhist psychology and philosophy. Kopan is a pleasant walk from Bodhnath and Gokarna Mahadev Temple.",4.3,"(1,134)"
5,Garden of Dreams,,27.71412,85.31481,Rs 120 depending on adults or children.,Open from 9 am to 10 pm. Last entry is at 9 pm.,"The beautifully restored Swapna Baigicha, also known as Garden of Dreams is a popular tourist place in Kathmandu to visit offers respite and rejuvenation from the stresses of the world. It is one of the most stunning places in the world. The garden was built in the 1920s and has been brought back to life by the Austrian financed team. The stunningly restored garden has gorgeous and refined details.Some of the main highlights of this place includes marble inscription from Omar Khayam’s Rubaiyat, beautiful fountains and ponds. The palace is home to a quirky ‘hidden garden’ as well. It also features three pavilions. The place is ideal for going out for a picnic or just to marvel at the humannature interaction. The place is a must visit for travelers.",4.2,"(11,311)"
6,Durbar Square Kathmandu,,27.70452,85.30697,Fee Free,From early morning to night.,"Explore the culture or history of Kathmandu by visiting the Durbar Square. Located in front of the former Kathmandu Palace Kingdom, the Durbar Square is a UNESCO World Heritage Site and is originally known for vivid showcases of artists and craftsmen.The palace here is stunningly decorated and the overall areas reflect the beauty of Nepalese culture. The palaces and the square itself have gone through reconstruction on several occasions.People of finer taste should add this place to their list of best places to visit in Nepal trip. The place includes museum and other parts of the palace here are opened for visitors. The place is home to Kumari Chok as well it is one of the most curious attractions of Nepal. Here, a gilded cage contains Kumari, a girl who was chosen to be the human reincarnation of Hindu Goddess, Durga.this mere fact alone this place among places to visit near Kathmandu.",4.5,"(32,116)"
7,Hanuman Dhoka Temple,,27.70423,85.30754,"Rs 500 for SAARC Nationals, and Rs 1000 for other nationalities",,"A part of the Durbar Square of Kathmandu, it is a complex of buildings which consists of the royal palaces of Malla kings and the Shah Dynasty. Spread over a whopping 5 acres, the place gets its name from the standing statue of the Hindu Lord Hanuman on the entrance and lists among best tourist places in Kathmandu, “Dhoka” in Nepali meaning door or gate.The statue itself dates back to 1672. The door is the entrance to the complex of Palace inside and is also the entryway to the Nasal Chok, Mul Chok, Mohan Chok and the Tribhuvan Museum, which exhibits the royal belongings of King Tribhuvan.",4.5,"(1,052)"
8,Kumari House,,27.70374,85.30654,"is free, however you will have to pay handlers to get an actual glimpse.",From mornings to evening.,"It’s a brick building located on the Durbar Square in Kathmandu. But the building goes beyond its architecture and has something quite intriguing to offer that’s the spiritual reincarnation of Goddess Durga. It is believed that the girl housed in here is the living goddess of Kathmandu.Once upon a time, the temple was known for its magnificent carvings and divine inhabitants. Today it is mostly famous for being the house of a living goddess. Here, tourists will find woodcarved relics of gods and the symbols in Nepal and they can discover the place through a courtyard. Photos are strictly prohibited and it is forbidden to photograph the Kumari or the goddess. The living goddess does appear on the first floor windows often. But that happens in the morning or late afternoons. Kumari is a young girl and it is believed that in her expressions, she can answer the queries of devotees.",4.5,(371)
9,Buddha Nilkanth,,27.77809,85.36232,,5:00 AM to 6:00 PM,"Budhanilkantha Temple is a hindu open air place of worship that is dedicated to Lord Vishnu. Located below the Shivapuri Hill at the northern end of Kathmandu Valley, this place is very much popular for its large reclining statue of Lord Vishnu.Being one of the most sought after tourist places in Kathmandu, it attracts zillions of visitors and devotees especially in large numbers during the occasion of Haribodhini Ekadashi Mela which is organised every single year on the 11th day of Kartik Month of the Hindu Calendar. Large reclining statue of Lord Vishnu",4.5,(55)
