0,Pashupatinath Temple,Boudhanath (Stupa),Swayambhunath Stupa,Thamel,Kopan Monastery,Garden of Dreams,Kathmandu Durbar Square,Hanuman Dhoka Temple,Kumari House,Buddha Nilkanth,Narayanhiti Palace,Indra Chowk,Jagannath Temple,Freak Street,Kasthamandap,Asan,Taudaha Lake,Kathesimbhu Stupa,Dakshinkali Temple,National Museum of Nepal,White Monastery,Bajrayogini Temple,Royal Botanical Gardens,Seto Machindranath Temple,Tribhuvan Museum,Rani Pokhari,Ratna Park,Babar Mahal,Singha Durbar,Basantapur Tower,Ashok Binayak,Pilgrims Book House,Shechen Monastery,Khawalung Monastery,Patan Durbar Square,Nagarkot,Chandragiri,Shivapuri Nagarjun National Park,Bhaktapur Durbar Square,Chisapani,Dhulikhel,Kirtipur,Phulchoki,Kulekhani,Lakuri Bhanjyang,Namo Buddha,Kakani,Helambu,Jump KTM,Art in Paradise Nepal,Whoopee Land,Astrek Park,Kathmandu Sports Climbing Centre,House of Palettes,Kathmandu Fun Park,Outdoor Adventure Centre Nepal
Pashupatinath Temple,1 min,11 mins,27 mins,18 mins,18 mins,13 mins,22 mins,21 mins,23 mins,25 mins,14 mins,20 mins,20 mins,20 mins,23 mins,17 mins,33 mins,19 mins,54 mins,23 mins,13 mins,40 mins,41 mins,7 mins,21 mins,14 mins,14 mins,13 mins,14 mins,21 mins,22 mins,17 mins,12 mins,16 mins,21 mins,1 hour 0 mins,41 mins,1 hour 41 mins,40 mins,36 mins,1 hour 6 mins,32 mins,1 hour 1 min,1 hour 45 mins,1 hour 0 mins,1 hour 22 mins,1 hour 27 mins,inf,11 mins,16 mins,35 mins,15 mins,18 mins,26 mins,14 mins,15 mins
Boudhanath (Stupa),11 mins,1 min,32 mins,22 mins,11 mins,18 mins,27 mins,27 mins,28 mins,25 mins,19 mins,26 mins,26 mins,26 mins,27 mins,23 mins,39 mins,24 mins,1 hour 0 mins,30 mins,6 mins,34 mins,49 mins,12 mins,27 mins,20 mins,20 mins,19 mins,20 mins,27 mins,27 mins,22 mins,4 mins,8 mins,28 mins,1 hour 2 mins,47 mins,1 hour 41 mins,43 mins,37 mins,1 hour 11 mins,38 mins,1 hour 9 mins,1 hour 51 mins,1 hour 7 mins,1 hour 26 mins,1 hour 28 mins,inf,12 mins,22 mins,41 mins,20 mins,23 mins,32 mins,20 mins,20 mins
Swayambhunath Stupa,27 mins,31 mins,1 min,19 mins,37 mins,16 mins,13 mins,17 mins,13 mins,36 mins,17 mins,19 mins,14 mins,16 mins,13 mins,15 mins,27 mins,13 mins,47 mins,6 mins,33 mins,1 hour 1 min,47 mins,25 mins,17 mins,19 mins,19 mins,18 mins,20 mins,17 mins,12 mins,14 mins,31 mins,35 mins,24 mins,1 hour 15 mins,29 mins,1 hour 43 mins,55 mins,26 mins,1 hour 21 mins,23 mins,1 hour 5 mins,1 hour 39 mins,1 hour 12 mins,1 hour 36 mins,1 hour 18 mins,inf,27 mins,18 mins,28 mins,15 mins,11 mins,23 mins,21 mins,14 mins
Thamel,16 mins,20 mins,14 mins,1 min,25 mins,4 mins,11 mins,16 mins,11 mins,25 mins,5 mins,15 mins,13 mins,15 mins,11 mins,8 mins,27 mins,8 mins,48 mins,12 mins,22 mins,50 mins,45 mins,13 mins,16 mins,8 mins,8 mins,11 mins,11 mins,16 mins,9 mins,8 mins,20 mins,24 mins,20 mins,1 hour 8 mins,32 mins,1 hour 38 mins,48 mins,22 mins,1 hour 14 mins,24 mins,1 hour 3 mins,1 hour 39 mins,1 hour 8 mins,1 hour 30 mins,1 hour 13 mins,inf,15 mins,11 mins,28 mins,4 mins,5 mins,23 mins,10 mins,3 mins
Kopan Monastery,18 mins,12 mins,37 mins,30 mins,1 min,25 mins,35 mins,34 mins,35 mins,18 mins,24 mins,33 mins,33 mins,33 mins,35 mins,30 mins,47 mins,32 mins,1 hour 7 mins,37 mins,13 mins,43 mins,56 mins,20 mins,34 mins,27 mins,27 mins,27 mins,27 mins,34 mins,34 mins,29 mins,11 mins,7 mins,36 mins,1 hour 13 mins,55 mins,1 hour 34 mins,53 mins,38 mins,1 hour 21 mins,45 mins,1 hour 16 mins,1 hour 58 mins,1 hour 16 mins,1 hour 36 mins,1 hour 30 mins,inf,10 mins,30 mins,49 mins,28 mins,30 mins,39 mins,27 mins,27 mins
Garden of Dreams,12 mins,18 mins,15 mins,4 mins,23 mins,1 min,9 mins,12 mins,10 mins,24 mins,3 mins,12 mins,12 mins,12 mins,9 mins,5 mins,27 mins,6 mins,47 mins,13 mins,20 mins,48 mins,41 mins,10 mins,12 mins,4 mins,4 mins,7 mins,8 mins,12 mins,10 mins,4 mins,19 mins,22 mins,16 mins,1 hour 5 mins,33 mins,1 hour 39 mins,45 mins,22 mins,1 hour 11 mins,24 mins,59 mins,1 hour 39 mins,1 hour 5 mins,1 hour 26 mins,1 hour 14 mins,inf,14 mins,8 mins,28 mins,2 mins,5 mins,20 mins,7 mins,3 mins
Kathmandu Durbar Square,22 mins,28 mins,13 mins,13 mins,33 mins,10 mins,1 min,7 mins,1 min,33 mins,12 mins,10 mins,7 mins,7 mins,1 min,8 mins,22 mins,6 mins,42 mins,7 mins,30 mins,57 mins,40 mins,19 mins,7 mins,11 mins,13 mins,11 mins,13 mins,7 mins,3 mins,7 mins,28 mins,32 mins,17 mins,1 hour 8 mins,26 mins,1 hour 43 mins,48 mins,27 mins,1 hour 14 mins,19 mins,58 mins,1 hour 33 mins,1 hour 6 mins,1 hour 29 mins,1 hour 18 mins,inf,23 mins,11 mins,22 mins,11 mins,8 mins,17 mins,14 mins,11 mins
Hanuman Dhoka Temple,19 mins,25 mins,17 mins,13 mins,32 mins,9 mins,8 mins,1 min,8 mins,32 mins,11 mins,5 mins,8 mins,1 min,7 mins,9 mins,23 mins,11 mins,43 mins,11 mins,27 mins,54 mins,42 mins,16 mins,1 min,7 mins,8 mins,11 mins,11 mins,1 min,9 mins,12 mins,25 mins,30 mins,17 mins,1 hour 8 mins,29 mins,1 hour 47 mins,48 mins,30 mins,1 hour 14 mins,20 mins,1 hour 0 mins,1 hour 35 mins,1 hour 6 mins,1 hour 29 mins,1 hour 22 mins,inf,22 mins,5 mins,24 mins,11 mins,13 mins,18 mins,10 mins,11 mins
Kumari House,22 mins,28 mins,13 mins,14 mins,33 mins,10 mins,1 min,7 mins,1 min,33 mins,13 mins,10 mins,7 mins,7 mins,1 min,8 mins,21 mins,7 mins,42 mins,7 mins,30 mins,58 mins,40 mins,20 mins,7 mins,11 mins,13 mins,11 mins,13 mins,7 mins,3 mins,7 mins,28 mins,32 mins,17 mins,1 hour 7 mins,26 mins,1 hour 43 mins,48 mins,27 mins,1 hour 14 mins,19 mins,58 mins,1 hour 33 mins,1 hour 6 mins,1 hour 29 mins,1 hour 18 mins,inf,24 mins,11 mins,22 mins,11 mins,8 mins,17 mins,14 mins,11 mins
Buddha Nilkanth,26 mins,27 mins,37 mins,30 mins,19 mins,25 mins,35 mins,37 mins,35 mins,1 min,26 mins,36 mins,36 mins,36 mins,35 mins,30 mins,53 mins,32 mins,1 hour 13 mins,36 mins,29 mins,57 mins,1 hour 4 mins,26 mins,37 mins,29 mins,29 mins,32 mins,32 mins,37 mins,34 mins,29 mins,25 mins,22 mins,41 mins,1 hour 23 mins,55 mins,1 hour 29 mins,1 hour 3 mins,38 mins,1 hour 29 mins,49 mins,1 hour 24 mins,2 hours 5 mins,1 hour 23 mins,1 hour 45 mins,1 hour 29 mins,inf,15 mins,32 mins,54 mins,28 mins,30 mins,44 mins,31 mins,27 mins
